"Douglas, Lord Street",08:20,09:20,10:20
"Lord Street, Hanover House",08:20,09:20,10:20
Clinch's House Lord Street,08:21,09:21,10:21
Peel Road Brown Bobby,08:22,09:22,10:22
Hills Meadow,08:23,09:23,10:23
Middle River Industrial Estate,08:25,09:25,10:25
Groves Road / Power Station,08:26,09:26,10:26
"National Sports Centre, Groves Road",08:27,09:27,10:27
Groves Road / Springfield Avenue,08:28,09:28,10:28
New Castletown Road,08:29,09:29,10:29
Anagh Coar entrance / Castletown Road,08:30,09:30,10:30
"Hampton Farm Estate, layby",08:30,09:30,10:30
"Four Roads shelter, Anagh Coar",08:31,09:31,10:31
Horses Home Southbound,08:33,09:33,10:33
Rosehill Farm,08:33,09:33,10:33
The Forge Entrance,08:34,09:34,10:34
Mount Murray / Ballacutchell Road,08:34,09:34,10:34
Newtown Chapel,08:35,09:35,10:35
Santon School Layby,08:35,09:35,10:35
Santon School,08:36,09:36,10:36
Santon Railway Station Towards Castletown,08:37,09:37,10:37
Fairy Bridge Southbound,08:37,09:37,10:37
Orrisdale Road,08:38,09:38,10:38
Orrisdale Road / Ballacreggan,08:38,09:38,10:38
Glashen Close,08:39,09:39,10:39
Opposite Whitestone Garage,08:40,09:40,10:40
Ballasalla Main Stop Southbound,08:42,09:42,10:42
Ballasalla Station / The Paddocks,08:43,09:43,10:43
The Sycamores,08:43,09:43,10:43
Airport Roundabout - southbound,08:45,09:45,10:45
Airport entrance,08:46,09:46,10:46
,08:47,09:47,10:47
Opposite Brookfields Avenue,08:49,09:49,10:49
King William's College,08:49,09:49,10:49
Janet's Corner Entrance,08:50,09:50,10:50
Victoria Road / Bowling Green Road,08:50,09:50,10:50
Castletown Station / The Sidings,08:51,09:51,10:51
Victoria Road Primary School,08:52,09:52,10:52
Victoria Road / Brewery Wharf,08:53,09:53,10:53
Castletown Square / The Parade,08:54,09:54,10:54
,08:55,09:55,10:55
Farrants Way / Kissack Road,08:55,09:55,10:55
Castle Rushen High School,08:56,09:56,10:56
Red Gapp / Royal Life,08:56,09:56,10:56
Ballalough Estate,08:57,09:57,10:57
Ballakeighan Cottage,08:59,09:59,10:59
Ballabeg Railway Station,08:59,09:59,10:59
Ballabeg Three Roads,09:00,10:00,11:00
Friary Park Farm,09:00,10:00,11:00
"Ballabeg Hall, shelter",09:01,10:01,11:01
Vicarage Close Shelter,09:02,10:02,11:02
Keyhole Farm Entrance,09:03,10:03,11:03
Colby Methodist Church,09:05,10:05,11:05
Opposite Belle Abbey Chapel,09:05,10:05,11:05
The Level Southbound,09:06,10:06,11:06
The Level / Croit-E-Caley Junction,09:06,10:06,11:06
"Colby, opposite Carrick Bay View",09:06,10:06,11:06
Ballagawne,09:07,10:07,11:07
"Ballafesson, shelter",09:08,10:08,11:08
Ballafesson Road,09:08,10:08,11:08
Barrack Road Junction,09:09,10:09,11:09
Ponyfields Entrance,09:10,10:10,11:10
Marashen Crescent,09:10,10:10,11:10
Station Road Shelter,09:11,10:11,11:11
Port Erin Railway Station,09:13,10:13,11:13
